@RELATION enseignement

@ATTRIBUTE Avez_vous_suivi_une_formation_en_informatique_durant_votre_formation_initial string
@ATTRIBUTE Avez_vous_suivie_une_formation_en_dehors_de_votre_formation_initial string
@ATTRIBUTE Avez_vous_suivi_un_MOOC string
@ATTRIBUTE Avez_vos_suivi_une_formation_en_presentiel string
@ATTRIBUTE Avez_vous_suivi_une_formation_hybride string
@ATTRIBUTE Avez_vous_suivi_une_formation_avec_des_amis string
@ATTRIBUTE Avez_vous_suivi_une_formation_en_ligne_hors_mooc string
@ATTRIBUTE Y_a_t_il_une_formation_en_informatique_dans_votre_département string
@ATTRIBUTE Avez_vou_suivi_une_formation_en_informatique_durant_votre_magistère string
@ATTRIBUTE capaciter_resolution_pb REAL 
@ATTRIBUTE insertion_pro REAL
@ATTRIBUTE citoyen_numerique REAL
@ATTRIBUTE Cet_enseignement_fait_partie_des_mission REAL
@ATTRIBUTE Cet_enseignement_est_utile_aux_apprentis REAL
@ATTRIBUTE facilite_mise_en_oeuvre REAL
@ATTRIBUTE objectifs_faciles REAL
@ATTRIBUTE a_l_aise_avec_les_connaissances REAL
@ATTRIBUTE enseignement_code REAL
@ATTRIBUTE Avez_vous_décidé_denseigner_le_code_a_la_suite_dune_réflexion_collective string
@ATTRIBUTE Avez_vous_décidé_denseigné_a_la_suite_dune_sollicitation_institutionnelle string
@ATTRIBUTE Avez_vous_décide_de_faire_cet_enseignement_par_vous_même string
@ATTRIBUTE collegues_enseignent_code string
@ATTRIBUTE materiel_pour_enseigner REAL
@ATTRIBUTE utilisation_REL REAL
@ATTRIBUTE forum REAL
@ATTRIBUTE suivi_formation_en_ligne string
@ATTRIBUTE suivi_MOOC REAL
@ATTRIBUTE Vous_avez_suivi_un_mooc_dans_le_domaine_du_droit_économie_sciences_politiques string
@ATTRIBUTE Vous_avez_suivi_un_mooc_dans_dautres_le_domaine string
@ATTRIBUTE Vous_avez_suivi_un_mooc_dans_le_domaine_de_lenseignement string
@ATTRIBUTE Vous_avez_suivi_un_mooc_dans_le_domaine_de_la_Sciences_et_technologies string
@ATTRIBUTE Vous_avez_suivi_un_mooc_dans_le_domaine_de_lettres_langues_sciences_humaines_et_sociales string
@ATTRIBUTE Vous_avez_suivi_un_mooc_dans_le_domaine_de_la_santé string
@ATTRIBUTE vous_avez_suivi_un_mooc_dans_le_domaine_de_l_informatique string
@ATTRIBUTE raison_non_inscription_MOOC REAL
@ATTRIBUTE ecriture_prog REAL
@ATTRIBUTE definition_pensee_info string
@ATTRIBUTE prog_affichage string
@ATTRIBUTE prog_tri string
@ATTRIBUTE deplacement_robot string
@ATTRIBUTE Avez_vous_regarder_des_videos string
@ATTRIBUTE Avez_vous_ecouter_telecharger_de_la_musique string
@ATTRIBUTE Avez_vous_participez_a_des_réseaux_sociaux string
@ATTRIBUTE Vous_avez_déjà_acheté_en_ligne string
@ATTRIBUTE Avez_vous_mit_en_ligne_des_contenus_professionnels string
@ATTRIBUTE Avez_vous_mit_en_ligne_des_contenus_personnels string
@ATTRIBUTE Avez_vous_une_classe_CP string
@ATTRIBUTE Avez_vous_une_classe_grande_section string
@ATTRIBUTE Avez_vous_une_classe_CE1 string
@ATTRIBUTE Avez_vous_une_classe_CE2 string
@ATTRIBUTE Avez_vous_une_classe_CM2 string
@ATTRIBUTE Avez_vous_une_classe_de_CM1 string
@ATTRIBUTE Avez_vous_une_classe_en_moyenne_section string
@ATTRIBUTE Avez_vous_une_classe_en_petite_section string
@ATTRIBUTE annees_exp REAL
@ATTRIBUTE departement REAL
@ATTRIBUTE genre string
@ATTRIBUTE option_info string
@ATTRIBUTE bac REAL



@DATA
false,true,true,false,false,true,true,false,false,1,2,4,4,4,4,1,3,1,false,false,true,Non,1,3,5,Oui,1,false,false,false,false,true,false,true,?,1,Oui,Oui,Oui,Oui,true,true,true,true,false,true,false,false,false,false,false,false,true,true,36,49,unhomme,Oui,1
false,false,?,?,?,?,?,?,?,1,4,3,3,3,1,1,1,3,true,true,true,Non,1,2,5,Non,?,?,?,?,?,?,?,?,?,5,Non,Non,Non,Non,true,true,true,true,true,true,true,false,false,true,true,true,true,false,20,49,unefemme,Non,2
true,false,false,false,true,false,false,false,false,2,4,1,1,1,4,1,2,3,?,?,?,?,3,1,1,Oui,3,?,?,?,?,?,?,?,?,4,Non,Non,Non,Non,true,true,false,true,?,?,true,true,false,false,false,false,true,true,5,?,unefemme,Oui,3
false,false,?,?,?,?,?,?,?,2,2,1,1,1,4,4,4,2,false,false,true,Non,2,2,5,Non,?,?,?,?,?,?,?,?,?,4,Non,Non,Non,Non,true,true,false,true,?,?,false,false,false,false,true,false,false,false,19,49,unefemme,Non,1
true,true,false,false,true,false,false,false,true,2,2,3,3,3,1,1,3,2,false,false,true,Oui,3,1,3,Oui,1,false,false,false,false,false,false,true,?,5,Non,Oui,Non,?,true,true,true,true,false,false,false,false,false,true,true,true,false,false,22,49,unefemme,Non,1
false,false,?,?,?,?,?,?,?,2,2,1,1,1,2,2,2,4,?,?,?,Non,3,3,5,Oui,3,?,?,?,?,?,?,?,?,4,Non,Non,Non,Non,true,true,true,true,false,true,true,false,false,true,true,true,true,false,8,49,unhomme,Oui,3
false,false,?,?,?,?,?,?,?,3,4,4,4,4,4,4,4,4,?,?,?,Non,2,1,4,Oui,2,?,?,?,?,?,?,?,4,4,Non,Non,Non,Non,true,true,false,true,?,?,false,false,false,true,false,true,false,false,25,49,unhomme,Non,1
false,false,?,?,?,?,?,?,?,3,2,4,2,4,2,?,2,4,?,?,?,Non,2,1,5,Oui,3,?,?,?,?,?,?,?,?,4,Non,Non,Non,Non,true,true,true,true,false,true,true,false,false,false,true,true,true,false,7,49,unefemme,Non,3
false,false,?,?,?,?,?,?,?,4,4,2,2,2,2,2,2,4,?,?,?,Non,4,2,5,Non,?,?,?,?,?,?,?,?,?,1,Non,Non,Non,Non,?,?,?,?,?,?,false,false,false,false,true,false,false,false,15,49,unhomme,Oui,1
false,true,false,false,true,false,false,false,true,1,4,3,3,3,3,3,3,1,false,false,true,Non,1,2,1,Oui,1,false,true,true,true,false,false,true,?,3,Oui,Oui,Oui,Oui,true,true,true,true,true,true,false,false,false,false,true,false,false,false,36,49,unhomme,Non,4
false,true,false,true,false,true,false,true,false,2,2,4,4,1,4,4,4,4,?,?,?,Non,3,2,5,Oui,3,?,?,?,?,?,?,?,?,1,Non,Non,Non,Non,true,true,false,true,?,?,false,false,false,false,false,true,false,false,10,49,unefemme,Non,1
false,true,false,false,true,false,false,true,false,2,4,3,1,1,4,4,4,2,false,false,true,?,2,2,4,Oui,1,false,false,true,false,false,false,false,?,5,Non,Oui,Non,Oui,true,true,false,true,?,?,true,false,false,true,true,true,true,false,10,49,unefemme,Non,2
false,false,?,?,?,?,?,?,?,3,2,1,4,4,2,2,2,4,?,?,?,Non,3,2,5,Non,?,?,?,?,?,?,?,?,?,4,Non,Non,Non,Non,true,true,true,true,false,true,false,false,true,true,false,false,false,false,13,49,unefemme,Non,1
false,false,?,?,?,?,?,?,?,3,2,1,4,4,2,2,2,4,?,?,?,Non,2,2,5,Non,?,?,?,?,?,?,?,?,?,4,?,Non,Non,Non,true,false,true,true,false,true,false,false,false,false,true,true,false,false,25,49,?,Non,1
