formation info	Avez vous suivi une formation en informatique durant votre formation initial	Avez vous suivie une formation en dehors de votre formation initial	type formation info	Avez vous suivi un MOOC ?	Avez vos suivi une formation en presentiel ?	Avez vous suivi une formation hybride ?	Avez vous suivi une formation avec des amis ?	Avez vous suivi une formation en ligne hors mooc ?	formation magist ere	Y a t il une formation en informatique dans votre département ?	Avez vou suivi une formation en informatique durant votre magistère ?	Class Code	temps rencontre	capacit e r esolution pb	insertion pro	citoyen num erique	Cet enseignement fait partie des mission	Cet enseignement est utile aux apprentis	facilit e mise en oeuvre	objectifs faciles	a l aise avec les connaissances	enseignement code	d ecision enseignement	Avez vous décidé d'enseigner le code a la suite d'une réflexion collective ?	Avez vous décidé d'enseigné a la suite d'une sollicitation institutionnelle ?	Avez vous décide de faire cet enseignement par vous même ?	coll egues enseignent code	mat eriel pour enseigner	utilisation REL	forum	suivi formation en ligne	suivi MOOC	domaines MOOC	Vous avez suivi un mooc dans le domaine du droit, économie, sciences politiques ?	Vous avez suivi un mooc dans d'autres le domaine ?	Vous avez suivi un mooc dans le domaine de l'enseignement ?	Vous avez suivi un mooc dans le domaine de la Sciences et technologies ?	Vous avez suivi un mooc dans le domaine de lettres langues sciences humaines et sociales?	Vous avez suivi un mooc dans le domaine de la santé ?	Vous avez suivi un mooc dans le domaine de l'informatique ?	raison non inscription MOOC	ecriture prog	definition pens ee info	prog affichage	prog tri	d eplacement robot	usages num erique	Avez vous regarder des videos ?	Avez vous ecouter/t el echarger de la musique ?	Avez vous participez a des réseaux sociaux ?	Vous avez déjà acheté en ligne ?	mettre en ligne	Avez vous mit en ligne des contenus professionnels ?	Avez vous mit en ligne des contenus personnels ?	niveau classe	Avez vous une classe CP ?	Avez vous une classe grande section ?	Avez vous une classe CE1 ?	Avez vous une classe CE2 ?	Avez vous une classe CM2 ?	Avez vous une classe de CM1 ?	Avez vous une classe en moyenne section ?	Avez vous une classe en petite section ?	ann ees exp	d epartement	genre	option info	bac	DATE_SAISIE	NUMERO
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC);formation avec des amis coll egues	true	false	false	true	true	Non il n en n existe pas dans mon d epartement	false	false			1	2	4	4	4	4	1	3	1	de vous-m eme	false	false	true	Non	1	3	5	Oui	1	Lettres langues sciences humaines et sociales;Informatique	false	false	false	false	true	false	true		1	Oui	Oui	Oui	Oui	Achat en ligne;Participation  a des r eseaux sociaux;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Petite section;Moyenne section	false	false	false	false	false	false	true	true	36	49	un homme	Oui	1	27/04/2017 12:05	1
Non	false	false												1	4	3	3	3	1	1	1	3	de vous-m eme; a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle	true	true	true	Non	1	2	5	Non											5	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM1;Moyenne section;CP;CE2;CM2	true	false	false	true	true	true	true	false	20	49	une femme	Non	2	27/04/2017 12:31	2
Oui durant ma formation initiale	true	false	formation hybride	false	false	true	false	false	Non il n en n existe pas dans mon d epartement	false	false			2	4	1	1	1	4	1	2	3						3	1	1	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				Petite section;Grande section;Moyenne section;CP	true	true	false	false	false	false	true	true	5		une femme	Oui	3	27/04/2017 17:09	3
Non	false	false												2	2	1	1	1	4	4	4	2	de vous-m eme	false	false	true	Non	2	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM2	false	false	false	false	true	false	false	false	19	49	une femme	Non	1	27/04/2017 17:39	5
Oui durant ma formation initiale;Oui en dehors de ma formation initiale	true	true	formation hybride	false	false	true	false	false	Oui	false	true			2	2	3	3	3	1	1	3	2	de vous-m eme	false	false	true	Oui	3	1	3	Oui	1	Informatique	false	false	false	false	false	false	true		5	Non	Oui	Non		Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM1;CE2;CM2	false	false	false	true	true	true	false	false	22	49	une femme	Non	1	27/04/2017 17:53	6
Non	false	false												2	2	1	1	1	2	2	2	4					Non	3	3	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;Moyenne section;CP;CE2;CM2	true	false	false	true	true	true	true	false	8	49	un homme	Oui	3	27/04/2017 17:55	7
Non	false	false												3	4	4	4	4	4	4	4	4					Non	2	1	4	Oui	2									4	4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;CE2	false	false	false	true	false	true	false	false	25	49	un homme	Non	1	27/04/2017 20:06	8
Non	false	false												3	2	4	2	4	2		2	4					Non	2	1	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;Moyenne section;CP;CM2	true	false	false	false	true	true	true	false	7	49	une femme	Non	3	27/04/2017 20:29	9
Non	false	false												4	4	2	2	2	2	2	2	4					Non	4	2	5	Non											1	Non	Non	Non	Non									CM2	false	false	false	false	true	false	false	false	15	49	un homme	Oui	1	28/04/2017 08:33	10
Oui en dehors de ma formation initiale	false	true	formation hybride	false	false	true	false	false	Oui	false	true			1	4	3	3	3	3	3	3	1	de vous-m eme	false	false	true	Non	1	2	1	Oui	1	Enseignement;Informatique;Autre;Sciences et technologies	false	true	true	true	false	false	true		3	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM2	false	false	false	false	true	false	false	false	36	49	un homme	Non	4	28/04/2017 10:15	11
